customer_set,budget,metric,baseline,comparison,baseline_minus_stable_mean,relative_reduction,bootstrap_ci_low,bootstrap_ci_high,effect_size_dz,wilcoxon_p,holm_p,significant_0p05
A,0.1,common_global_risk_mean,GraphSAGE,Stable-Tail GNN,0.11526301843630363,0.020322382204724994,-0.4392162356207405,0.6422783583986971,0.12585724951463723,0.4921875,0.4921875,False
A,0.1,common_global_risk_mean,TEG-only,Stable-Tail GNN,0.21331909071326222,0.03697176505833346,-0.12296088900859137,0.5315003514841449,0.38433315510133814,0.232421875,0.46484375,False
A,0.1,common_global_risk_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.43204391610136705,0.07214549462395241,0.1384699410409443,0.7717398783324039,0.8065384003541441,0.02734375,0.08203125,False
A,0.1,common_global_cvar90_mean,GraphSAGE,Stable-Tail GNN,0.004038520807483762,0.026260532364725076,-0.008874097207605599,0.016650683982038346,0.18689287327763238,0.556640625,0.75,False
A,0.1,common_global_cvar90_mean,TEG-only,Stable-Tail GNN,0.005309693210414318,0.034243298157155544,-0.004727534787585264,0.015022683847944382,0.31769239536713445,0.375,0.75,False
A,0.1,common_global_cvar90_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.01173533386282034,0.07267202144362123,0.0034771519161063253,0.020174956372107047,0.8358744556200782,0.01953125,0.05859375,False
A,0.15,common_global_risk_mean,GraphSAGE,Stable-Tail GNN,0.047230730734586945,0.010317739717777021,-0.0648648171361859,0.15974419101392318,0.2500282356353386,0.431640625,1.0,False
A,0.15,common_global_risk_mean,TEG-only,Stable-Tail GNN,0.01370389547227795,0.003015757723768494,-0.0700938149660107,0.097572260133342,0.0980222327943038,0.845703125,1.0,False
A,0.15,common_global_risk_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.043435845300818524,0.009496604761383264,-0.08287848923208288,0.15264990677635193,0.21877396119816675,0.4921875,1.0,False
A,0.15,common_global_cvar90_mean,GraphSAGE,Stable-Tail GNN,0.0016812658784452733,0.013214130894117887,-0.00342548389763769,0.006544624200349935,0.19895928370595578,0.556640625,1.0,False
A,0.15,common_global_cvar90_mean,TEG-only,Stable-Tail GNN,0.00043630699095637134,0.003463098471348497,-0.003657817494656674,0.004959704095716044,0.06018584194281934,0.921875,1.0,False
A,0.15,common_global_cvar90_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.002401363927804272,0.018767617289978843,-0.0026967010654989974,0.00713555877769199,0.28704076913873466,0.431640625,1.0,False
A,0.2,common_global_risk_mean,GraphSAGE,Stable-Tail GNN,0.09026368723820029,0.026841657470283203,-0.101674966932154,0.3709696871938033,0.22106759751008492,0.845703125,1.0,False
A,0.2,common_global_risk_mean,TEG-only,Stable-Tail GNN,0.2413444879346239,0.06868276553973512,-0.04972997402075102,0.6037693623707115,0.4348578574925434,0.625,1.0,False
A,0.2,common_global_risk_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.22621543974832575,0.0646556552812904,0.045540102765025056,0.49701592927521676,0.563641414336414,0.048828125,0.146484375,False
A,0.2,common_global_cvar90_mean,GraphSAGE,Stable-Tail GNN,0.004451480987798124,0.05184665576849268,-0.0033969700940925155,0.015894885598744957,0.26875931187516616,0.921875,0.921875,False
A,0.2,common_global_cvar90_mean,TEG-only,Stable-Tail GNN,0.0092044442665986,0.10158134904648122,-0.0021210955506729646,0.022540003986437268,0.43473307606980705,0.322265625,0.64453125,False
A,0.2,common_global_cvar90_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.008378577095458651,0.09331751027998432,0.0006612981106260627,0.018937818486815253,0.53027134764323,0.083984375,0.251953125,False
A,0.25,common_global_risk_mean,GraphSAGE,Stable-Tail GNN,-0.16183930014818987,-0.05202635009437352,-0.2676565786398784,-0.05495420046430193,-0.8769480759895729,0.048828125,0.146484375,False
A,0.25,common_global_risk_mean,TEG-only,Stable-Tail GNN,-0.025228768504838416,-0.007769084276909905,-0.10908857646780684,0.06909451510008209,-0.1666383852774113,0.4921875,0.4921875,False
A,0.25,common_global_risk_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.07922565252540066,0.023636868873543323,-0.010148289310400481,0.16574029982992236,0.5264704549731553,0.193359375,0.38671875,False
A,0.25,common_global_cvar90_mean,GraphSAGE,Stable-Tail GNN,-0.006722686245920925,-0.0900145653174268,-0.01292402273026125,-0.0007881713105414027,-0.6344375237473887,0.064453125,0.193359375,False
A,0.25,common_global_cvar90_mean,TEG-only,Stable-Tail GNN,-7.434725295596273e-05,-0.0009141119438252622,-0.004928000597901829,0.004727648803162331,-0.008987676450337923,0.845703125,0.845703125,False
