rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3637,8,8,7.58920431137085,0.9413148760795593,0.9499958157539368
2,2794,0,7,7.081864356994629,0.8688377737998962,0.9858028888702393
3,3593,0,7,6.999995231628418,0.8571421504020691,0.9999991655349731
4,3484,0,7,6.999929428100586,0.8571327924728394,0.9999876618385315
5,3777,7,7,6.996474742889404,0.8566392660140991,0.998888373374939
6,3901,0,7,6.978067398071289,0.8540096282958984,0.9952912330627441
7,3477,0,7,6.973570823669434,0.853367269039154,0.9952950477600098
8,4485,7,7,6.563826084136963,0.7948322892189026,0.904492199420929
9,3846,3,7,6.430960178375244,0.7758514285087585,0.8776671290397644
10,89,0,7,6.413247108459473,0.7733210325241089,0.7830673456192017
11,4988,0,8,6.385627746582031,0.7693753838539124,0.695189356803894
12,5042,4,7,6.3778486251831055,0.76826411485672,0.7587150931358337
13,3794,7,7,6.352657318115234,0.7646653056144714,0.8106167912483215
14,2163,0,7,6.244284152984619,0.7491834759712219,0.7819729447364807
15,1660,0,7,6.232332706451416,0.7474761009216309,0.7344052195549011
16,1019,0,8,6.199143409729004,0.7427347898483276,0.706802487373352
17,1081,0,8,6.145355224609375,0.7350507378578186,0.704142689704895
18,3721,1,7,6.007865905761719,0.7154093980789185,0.7813570499420166
19,4315,8,7,5.968561172485352,0.7097944617271423,0.6691720485687256
20,2418,0,7,5.897679805755615,0.6996685266494751,0.7015799283981323
