model,split,seed,epochs,experiment_tag,alpha_ord,alpha_hr,alpha_topk,topk_frac,stage1_epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate
teg_gnn,A,0,50,teg_low_tail,0.3,0.5,0.1,0.2,0,data_2020_train,0.6948658719390514,0.7989340940719347,0.9927850022356842,0.7591220578011719,0.8709677419354839,0.8181818181818182,0.932174425001025,0.12903225806451613
teg_gnn,A,0,50,teg_low_tail,0.3,0.5,0.1,0.2,0,data_2020_val,0.18870192307692307,0.5193452380952381,1.788004174514554,0.24983762719203284,0.3333333333333333,0.25,0.2753599186984842,0.6666666666666666
teg_gnn,A,0,50,teg_low_tail,0.3,0.5,0.1,0.2,0,data_2021_test,0.3702251186402964,0.6037929163858624,1.652694954763422,0.34982826515402765,0.4117647058823529,0.38181818181818183,0.309166917692646,0.5882352941176471
teg_gnn,A,1,50,teg_low_tail,0.3,0.5,0.1,0.2,0,data_2020_train,0.6964056095958717,0.8073994770940227,1.0856119952573422,0.7498666666666667,0.7741935483870968,0.8571428571428571,0.9264588323395897,0.22580645161290322
teg_gnn,A,1,50,teg_low_tail,0.3,0.5,0.1,0.2,0,data_2020_val,0.20483415666901908,0.5406963067513527,1.812140930203911,0.3229869545659019,0.4444444444444444,0.4,0.33623256905164345,0.5555555555555556
teg_gnn,A,1,50,teg_low_tail,0.3,0.5,0.1,0.2,0,data_2021_test,0.34600998157049706,0.5957196721090456,1.6511091858594944,0.3531800593401073,0.35294117647058826,0.47368421052631576,0.36381125957786065,0.6470588235294118
teg_gnn,A,2,50,teg_low_tail,0.3,0.5,0.1,0.2,0,data_2020_train,0.740404454823629,0.8167248918357902,1.0609953798473721,0.7969473935884926,0.8709677419354839,0.7714285714285715,0.9317250537685975,0.12903225806451613
teg_gnn,A,2,50,teg_low_tail,0.3,0.5,0.1,0.2,0,data_2020_val,0.21678353110391943,0.5264935531925824,1.8493389005455585,0.07233273056057865,0.2222222222222222,0.2857142857142857,0.2957227837337508,0.7777777777777778
teg_gnn,A,2,50,teg_low_tail,0.3,0.5,0.1,0.2,0,data_2021_test,0.3236554975239445,0.5703463368425948,1.6403175787474003,0.3253707913786935,0.35294117647058826,0.4,0.37337291033673836,0.6470588235294118
teg_gnn,A,3,50,teg_low_tail,0.3,0.5,0.1,0.2,0,data_2020_train,0.6483728448614072,0.7658023017795692,1.1123942481613722,0.6358253644983343,0.7096774193548387,0.7096774193548387,0.864155661644222,0.2903225806451613
