model,customer_set,wins,comparisons,win_rate,average_common_risk_at_b
GCN,A,4,70,0.05714285714285714,3.6560102014012994
GCN,B,6,70,0.08571428571428572,5.046319067778706
GAT,A,1,70,0.014285714285714285,3.770936178948534
GAT,B,1,70,0.014285714285714285,5.4248880735075415
GraphSAGE,A,8,70,0.11428571428571428,3.596483009298728
GraphSAGE,B,9,70,0.12857142857142856,4.948894057250943
GraphSAGE-TEG-Concat,A,18,70,0.2571428571428571,3.5589277156314036
GraphSAGE-TEG-Concat,B,12,70,0.17142857142857143,4.944092759553212
SGFormer-adapted,A,9,70,0.12857142857142856,3.6234546308786615
SGFormer-adapted,B,15,70,0.21428571428571427,4.917628133194377
SGFormer-TEG-Concat,A,8,70,0.11428571428571428,3.5662955593141468
SGFormer-TEG-Concat,B,6,70,0.08571428571428572,4.83816706097021
Gradformer-adapted,A,8,70,0.11428571428571428,3.856602146418308
Gradformer-adapted,B,7,70,0.1,5.133960202176605
TEG-only,A,4,70,0.05714285714285714,3.670404200014508
TEG-only,B,4,70,0.05714285714285714,4.947770195657323
Stable-Tail w/o Tail Loss,A,4,70,0.05714285714285714,3.6900735359498014
Stable-Tail w/o Tail Loss,B,3,70,0.04285714285714286,4.978856183733089
Stable-Tail GNN,A,6,70,0.08571428571428572,3.5685852547333377
Stable-Tail GNN,B,7,70,0.1,4.7900836552658514
