method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,total_risk_wilcoxon_p,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,max_risk_wilcoxon_p,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar80_wilcoxon_p,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,cvar90_wilcoxon_p,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,re_wilcoxon_p,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,gini_wilcoxon_p,path_overlap_with_cvar,selected_path_changed_rate,risk_mode,cvar_alpha,lambda_re,re_threshold,run_name,risk_dir
CVaR+Concentration,150,10.106666666666667,2.5649853582707207,0.007088999467123443,0.012601114419066872,0.023658886353174844,0.08618304888702015,0.013284309071436937,0.038644668625252274,0.021173226841104526,0.08301099073434463,0.0026052610107236986,0.012586105889079467,0.14432046050114047,0.13929524828272713,0.13917965436784244,0.16129545982813775,0.06957071581014133,0.1209540773470325,0.12449494949493306,0.11733899009420248,0.4763652525733871,0.46647506978175013,0.5827155969096759,0.4496482363966322,0.3461963584545689,0.06957071581014133,0.7990426123443176,0.4763652525733871,0.7472866730556813,3.04539927223694e-17,0.23266617476940155,0.023658886353174844,0.8983140270496054,0.5815489333475661,0.9536273599118428,1.2781475674167548e-19,0.1316681649768725,0.013284309071436937,0.8991076614862109,0.5886249804627445,0.8848113493792751,9.512020445222174e-23,0.19958290182881885,0.021173226841104526,0.8939126215322863,0.5827155969096759,0.9236956385082176,1.2782689253206252e-19,0.03455837004110921,0.0026052610107236986,0.9246127346703795,0.7006956299983543,0.9817803497186182,3.3087418535645997e-21,0.4964409199191629,0.13917965436784244,0.7196450800404907,0.447107169803086,0.7695729657316026,4.95331732226692e-19,1.0,0.0,floor_0p01,0.8,0.0,p75,od_formal_floor001_p50_k50_cached_floor_0p01_a0p8_l0_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_floor_0p01
CVaR-risk,150,10.106666666666667,2.5649853582707207,0.007088999467123443,0.012601114419066872,0.023658886353174844,0.08618304888702015,0.013284309071436937,0.038644668625252274,0.021173226841104526,0.08301099073434463,0.0026052610107236986,0.012586105889079467,0.14432046050114047,0.13929524828272713,0.13917965436784244,0.16129545982813775,0.06957071581014133,0.1209540773470325,0.12449494949493306,0.11733899009420248,0.4763652525733871,0.46647506978175013,0.5827155969096759,0.4496482363966322,0.3461963584545689,0.06957071581014133,0.7990426123443176,0.4763652525733871,0.7472866730556813,3.04539927223694e-17,0.23266617476940155,0.023658886353174844,0.8983140270496054,0.5815489333475661,0.9536273599118428,1.2781475674167548e-19,0.1316681649768725,0.013284309071436937,0.8991076614862109,0.5886249804627445,0.8848113493792751,9.512020445222174e-23,0.19958290182881885,0.021173226841104526,0.8939126215322863,0.5827155969096759,0.9236956385082176,1.2782689253206252e-19,0.03455837004110921,0.0026052610107236986,0.9246127346703795,0.7006956299983543,0.9817803497186182,3.3087418535645997e-21,0.4964409199191629,0.13917965436784244,0.7196450800404907,0.447107169803086,0.7695729657316026,4.95331732226692e-19,1.0,0.0,floor_0p01,0.8,0.0,p75,od_formal_floor001_p50_k50_cached_floor_0p01_a0p8_l0_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_floor_0p01
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03918003839104632,0.04136372577663619,0.23266617476940155,0.2397586458718502,0.1316681649768725,0.15487450261694494,0.19958290182881885,0.2148843272460866,0.03455837004110921,0.04132265784816461,0.44267717622329883,0.2942293714576114,0.4964409199191629,0.31931166412654644,0.3461963584545689,0.34782958314917284,0.0,0.0,0.0,0.0,0.0,0.0,0.3461963584545689,0.3461963584545689,0.0,0.0,0.0,1.0,0.23266617476940155,0.23266617476940155,0.0,0.0,0.0,1.0,0.1316681649768725,0.1316681649768725,0.0,0.0,0.0,1.0,0.19958290182881885,0.19958290182881885,0.0,0.0,0.0,1.0,0.03455837004110921,0.03455837004110921,0.0,0.0,0.0,1.0,0.4964409199191629,0.4964409199191629,0.0,0.0,0.0,1.0,0.14666666666666667,0.8533333333333333,floor_0p01,0.8,0.0,p75,od_formal_floor001_p50_k50_cached_floor_0p01_a0p8_l0_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_floor_0p01
Mean-risk-floor,150,10.02,2.7671854719627325,0.005592536453031166,0.008697807474863213,0.013722218467543523,0.07328381562335981,0.009688355819736089,0.03677527794050307,0.013699368344516388,0.07328644141850545,0.0012344108176594848,0.008682983195749637,0.12494337494819038,0.09549383685387258,0.12119133425809234,0.10577036589664643,0.05377116810727178,0.0737447317229995,0.10900324675323309,0.12785825259954564,0.5348757679211467,0.41883844430668665,0.6111759162628762,0.446693663405921,0.3461963584545689,0.05377116810727178,0.8446801452558526,0.5348757679211467,0.8219181538817595,1.3127490406040583e-20,0.23266617476940155,0.013722218467543523,0.9410218589698962,0.6157482395086822,0.9702716518915645,3.9913688149290184e-19,0.1316681649768725,0.009688355819736089,0.9264183880563364,0.6023439437603028,0.92512580406289,1.8685918171155225e-19,0.19958290182881885,0.013699368344516388,0.9313600102016875,0.6111759162628762,0.9590651624095635,3.9917695680950117e-19,0.03455837004110921,0.0012344108176594848,0.9642804097196899,0.7032206764510944,0.9932175876743182,5.985729498508396e-20,0.4964409199191629,0.12119133425809234,0.7558796436873452,0.4988637181290577,0.7660306645979067,8.1567646965234835e-19,0.3933333333333333,0.6066666666666667,floor_0p01,0.8,0.0,p75,od_formal_floor001_p50_k50_cached_floor_0p01_a0p8_l0_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_floor_0p01
Mean-risk-raw,150,10.02,2.7671854719627325,0.005592536453031166,0.008697807474863213,0.013722218467543523,0.07328381562335981,0.009688355819736089,0.03677527794050307,0.013699368344516388,0.07328644141850545,0.0012344108176594848,0.008682983195749637,0.12494337494819038,0.09549383685387258,0.12119133425809234,0.10577036589664643,0.05377116810727178,0.0737447317229995,0.10900324675323309,0.12785825259954564,0.5348757679211467,0.41883844430668665,0.6111759162628762,0.446693663405921,0.3461963584545689,0.05377116810727178,0.8446801452558526,0.5348757679211467,0.8219181538817595,1.3127490406040583e-20,0.23266617476940155,0.013722218467543523,0.9410218589698962,0.6157482395086822,0.9702716518915645,3.9913688149290184e-19,0.1316681649768725,0.009688355819736089,0.9264183880563364,0.6023439437603028,0.92512580406289,1.8685918171155225e-19,0.19958290182881885,0.013699368344516388,0.9313600102016875,0.6111759162628762,0.9590651624095635,3.9917695680950117e-19,0.03455837004110921,0.0012344108176594848,0.9642804097196899,0.7032206764510944,0.9932175876743182,5.985729498508396e-20,0.4964409199191629,0.12119133425809234,0.7558796436873452,0.4988637181290577,0.7660306645979067,8.1567646965234835e-19,0.3933333333333333,0.6066666666666667,floor_0p01,0.8,0.0,p75,od_formal_floor001_p50_k50_cached_floor_0p01_a0p8_l0_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_floor_0p01
CVaR+Concentration,150,10.686666666666667,2.482520549241219,0.006497839734687817,0.008687444893785546,0.023658886353174844,0.08618304888702015,0.013459450873287603,0.040455081391076494,0.0211699218960065,0.08301163166100874,0.0020457576892322165,0.008677027188029885,0.1401155759818073,0.1473424121496224,0.14175604272398465,0.16512810394126531,0.06846753265187544,0.08701185859597037,0.20034253056309162,0.17614198605194453,0.4458625732802816,0.5083141702409376,0.5829071087326111,0.4494285119311679,0.3461963584545689,0.06846753265187544,0.8022291945579128,0.4458625732802816,0.7472866730556813,1.461655982284331e-15,0.23266617476940155,0.023658886353174844,0.8983140270496054,0.5815489333475661,0.9536273599118428,1.2781475674167548e-19,0.1316681649768725,0.013459450873287603,0.8977774857229192,0.5882201245207133,0.8848113493792751,1.3893058712178367e-22,0.19958290182881885,0.0211699218960065,0.893929180791961,0.5829071087326111,0.9236956385082176,8.746440290144167e-20,0.03455837004110921,0.0020457576892322165,0.9408028304651097,0.7353871383346828,0.9827967605053829,2.1563239067004342e-24,0.4964409199191629,0.14175604272398465,0.7144553620846129,0.42773619040189603,0.7695729657316026,7.377786093883874e-18,0.6333333333333333,0.3666666666666667,floor_0p01,0.8,1.0,p75,od_formal_floor001_p50_k50_cached_floor_0p01_a0p8_l1_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_floor_0p01
CVaR-risk,150,10.106666666666667,2.5649853582707207,0.007088999467123443,0.012601114419066872,0.023658886353174844,0.08618304888702015,0.013284309071436937,0.038644668625252274,0.021173226841104526,0.08301099073434463,0.0026052610107236986,0.012586105889079467,0.14432046050114047,0.13929524828272713,0.13917965436784244,0.16129545982813775,0.06957071581014133,0.1209540773470325,0.12449494949493306,0.11733899009420248,0.4763652525733871,0.46647506978175013,0.5827155969096759,0.4496482363966322,0.3461963584545689,0.06957071581014133,0.7990426123443176,0.4763652525733871,0.7472866730556813,3.04539927223694e-17,0.23266617476940155,0.023658886353174844,0.8983140270496054,0.5815489333475661,0.9536273599118428,1.2781475674167548e-19,0.1316681649768725,0.013284309071436937,0.8991076614862109,0.5886249804627445,0.8848113493792751,9.512020445222174e-23,0.19958290182881885,0.021173226841104526,0.8939126215322863,0.5827155969096759,0.9236956385082176,1.2782689253206252e-19,0.03455837004110921,0.0026052610107236986,0.9246127346703795,0.7006956299983543,0.9817803497186182,3.3087418535645997e-21,0.4964409199191629,0.13917965436784244,0.7196450800404907,0.447107169803086,0.7695729657316026,4.95331732226692e-19,1.0,0.0,floor_0p01,0.8,1.0,p75,od_formal_floor001_p50_k50_cached_floor_0p01_a0p8_l1_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_floor_0p01
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03918003839104632,0.04136372577663619,0.23266617476940155,0.2397586458718502,0.1316681649768725,0.15487450261694494,0.19958290182881885,0.2148843272460866,0.03455837004110921,0.04132265784816461,0.44267717622329883,0.2942293714576114,0.4964409199191629,0.31931166412654644,0.3461963584545689,0.34782958314917284,0.0,0.0,0.0,0.0,0.0,0.0,0.3461963584545689,0.3461963584545689,0.0,0.0,0.0,1.0,0.23266617476940155,0.23266617476940155,0.0,0.0,0.0,1.0,0.1316681649768725,0.1316681649768725,0.0,0.0,0.0,1.0,0.19958290182881885,0.19958290182881885,0.0,0.0,0.0,1.0,0.03455837004110921,0.03455837004110921,0.0,0.0,0.0,1.0,0.4964409199191629,0.4964409199191629,0.0,0.0,0.0,1.0,0.14666666666666667,0.8533333333333333,floor_0p01,0.8,1.0,p75,od_formal_floor001_p50_k50_cached_floor_0p01_a0p8_l1_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_floor_0p01
Mean-risk-floor,150,10.02,2.7671854719627325,0.005592536453031166,0.008697807474863213,0.013722218467543523,0.07328381562335981,0.009688355819736089,0.03677527794050307,0.013699368344516388,0.07328644141850545,0.0012344108176594848,0.008682983195749637,0.12494337494819038,0.09549383685387258,0.12119133425809234,0.10577036589664643,0.05377116810727178,0.0737447317229995,0.10900324675323309,0.12785825259954564,0.5348757679211467,0.41883844430668665,0.6111759162628762,0.446693663405921,0.3461963584545689,0.05377116810727178,0.8446801452558526,0.5348757679211467,0.8219181538817595,1.3127490406040583e-20,0.23266617476940155,0.013722218467543523,0.9410218589698962,0.6157482395086822,0.9702716518915645,3.9913688149290184e-19,0.1316681649768725,0.009688355819736089,0.9264183880563364,0.6023439437603028,0.92512580406289,1.8685918171155225e-19,0.19958290182881885,0.013699368344516388,0.9313600102016875,0.6111759162628762,0.9590651624095635,3.9917695680950117e-19,0.03455837004110921,0.0012344108176594848,0.9642804097196899,0.7032206764510944,0.9932175876743182,5.985729498508396e-20,0.4964409199191629,0.12119133425809234,0.7558796436873452,0.4988637181290577,0.7660306645979067,8.1567646965234835e-19,0.3933333333333333,0.6066666666666667,floor_0p01,0.8,1.0,p75,od_formal_floor001_p50_k50_cached_floor_0p01_a0p8_l1_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_floor_0p01
Mean-risk-raw,150,10.02,2.7671854719627325,0.005592536453031166,0.008697807474863213,0.013722218467543523,0.07328381562335981,0.009688355819736089,0.03677527794050307,0.013699368344516388,0.07328644141850545,0.0012344108176594848,0.008682983195749637,0.12494337494819038,0.09549383685387258,0.12119133425809234,0.10577036589664643,0.05377116810727178,0.0737447317229995,0.10900324675323309,0.12785825259954564,0.5348757679211467,0.41883844430668665,0.6111759162628762,0.446693663405921,0.3461963584545689,0.05377116810727178,0.8446801452558526,0.5348757679211467,0.8219181538817595,1.3127490406040583e-20,0.23266617476940155,0.013722218467543523,0.9410218589698962,0.6157482395086822,0.9702716518915645,3.9913688149290184e-19,0.1316681649768725,0.009688355819736089,0.9264183880563364,0.6023439437603028,0.92512580406289,1.8685918171155225e-19,0.19958290182881885,0.013699368344516388,0.9313600102016875,0.6111759162628762,0.9590651624095635,3.9917695680950117e-19,0.03455837004110921,0.0012344108176594848,0.9642804097196899,0.7032206764510944,0.9932175876743182,5.985729498508396e-20,0.4964409199191629,0.12119133425809234,0.7558796436873452,0.4988637181290577,0.7660306645979067,8.1567646965234835e-19,0.3933333333333333,0.6066666666666667,floor_0p01,0.8,1.0,p75,od_formal_floor001_p50_k50_cached_floor_0p01_a0p8_l1_p75,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\teg_gnn_splitB_seed0_epochs20_floor_0p01
