rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,2795,0,8,7.331413745880127,0.904487669467926,0.9562696218490601
2,3421,5,8,7.298410892486572,0.8997730016708374,0.8649221062660217
3,3367,0,7,6.962916851043701,0.8518452644348145,0.9894228577613831
4,3208,7,7,6.959113597869873,0.8513019680976868,0.984714150428772
5,3335,7,7,6.924476146697998,0.8463537096977234,0.9723488092422485
6,3721,8,8,6.778670310974121,0.8255243301391602,0.8089882135391235
7,3250,0,7,6.770343780517578,0.8243348002433777,0.9365534782409668
8,3300,7,7,6.743732929229736,0.820533275604248,0.9247058033943176
9,3475,8,8,6.743534564971924,0.8205049633979797,0.8028551340103149
10,3448,7,7,6.724551677703857,0.817793071269989,0.9250668287277222
11,3100,0,7,6.6090521812438965,0.8012931942939758,0.8933898210525513
12,3487,8,8,6.578989505767822,0.7969985008239746,0.80878746509552
13,4091,7,7,6.492680072784424,0.7846685647964478,0.8753061294555664
14,3439,0,7,6.318294525146484,0.7597563862800598,0.7840099930763245
15,3198,7,7,6.283679008483887,0.7548112869262695,0.7852886915206909
16,3410,7,7,6.154128551483154,0.7363041043281555,0.7569404244422913
17,3901,7,7,5.902143955230713,0.7003062963485718,0.7041975259780884
18,3537,8,8,5.877323150634766,0.6967604756355286,0.6859281063079834
19,3308,0,7,5.666668891906738,0.6666669845581055,0.6695179343223572
20,4132,6,7,5.66438102722168,0.666340172290802,0.6640895009040833
