set,seed,node_id,label,S_i_norm,exposure_norm,high_risk_top20,high_exposure_top20,risk_quintile_Q1_Q5
A,0,3151,0,0.0684145838022232,0.0007920792597483193,0,0,3
A,0,4357,1,0.08327729254961014,0.0007920792597483193,0,0,4
A,0,2741,0,0.16782920062541962,0.0007920792597483193,1,0,5
A,0,1475,0,0.20873233675956726,0.0007920792597483193,1,0,5
A,0,206,0,0.019561409950256348,0.0007920792597483193,0,0,2
A,0,3929,0,0.672318160533905,0.0,1,0,5
A,0,5104,0,0.2165057361125946,0.0031683170389932773,1,1,5
A,0,1701,0,0.3684747517108917,0.0007920792597483193,1,0,5
A,0,1419,0,0.049389056861400604,0.0007920792597483193,0,0,3
A,0,2828,0,0.49708476662635803,0.0007920792597483193,1,0,5
A,0,3064,0,0.06395108252763748,0.0007920792597483193,0,0,3
A,0,3237,0,0.04773598164319992,0.0007920792597483193,0,0,3
A,0,3755,0,0.4076307713985443,0.005544554818238235,1,1,5
A,0,1255,0,0.3354031443595886,0.0007920792597483193,1,0,5
A,0,3944,0,0.21596874296665192,0.0,1,0,5
A,0,3974,7,0.4969422519207001,0.0205940607534563,1,1,5
A,0,5096,0,0.30066534876823425,0.0015841585194966386,1,1,5
A,0,558,0,0.19611787796020508,0.0007920792597483193,1,0,5
A,0,995,0,0.2221817672252655,0.0007920792597483193,1,0,5
A,0,563,0,0.004012874327600002,0.0007920792597483193,0,0,1
A,0,2734,0,0.21351279318332672,0.0007920792597483193,1,0,5
A,0,355,0,0.1705591380596161,0.0007920792597483193,1,0,5
A,0,2159,0,0.49195268750190735,0.0007920792597483193,1,0,5
A,0,3506,1,0.35418811440467834,0.0,1,0,5
A,0,887,0,0.030937178060412407,0.0007920792597483193,0,0,3
A,0,3988,0,0.18893718719482422,0.04079208239341536,1,1,5
A,0,5032,0,0.07882475852966309,0.08000000626733408,0,1,4
A,0,4620,0,0.00453230319544673,0.12079207995610997,0,1,1
A,0,4764,0,0.2265080064535141,0.002376237779244958,1,1,5
A,0,3699,0,0.012608102522790432,0.08396040256607569,0,1,2
A,0,4720,0,0.011723024770617485,0.002376237779244958,0,1,2
A,0,4030,0,0.06692212074995041,0.08237623534193957,0,1,3
A,0,3720,0,0.0032230105716735125,0.08712871960506896,0,1,1
A,0,3484,0,0.08473413437604904,0.0031683170389932773,0,1,4
A,0,3695,0,0.09018997102975845,0.04079208239341536,0,1,4
A,0,4858,0,0.022603120654821396,0.003960396298741596,0,1,2
A,0,4222,0,0.18986961245536804,0.005544554818238235,1,1,5
A,0,3386,0,0.014540331438183784,0.002376237779244958,0,1,2
A,0,3544,1,0.13208045065402985,0.005544554818238235,0,1,4
A,0,4190,0,0.3699481189250946,0.042376240912912005,1,1,5
A,0,3366,0,0.209562748670578,0.0007920792597483193,1,0,5
A,0,2638,0,0.002322776010259986,0.0007920792597483193,0,0,1
A,0,4888,0,0.00016891956329345703,0.0007920792597483193,0,0,1
A,0,1743,0,0.09291297942399979,0.0007920792597483193,0,0,4
A,0,5151,0,0.04080825299024582,0.0,0,0,3
