model,macro_f1,mae,qwk,pr_auc,recall_at_6_8,high_fn,od_hop_increase,od_total_risk_reduction,od_cvar90_reduction,set_a_risk20,set_a_cvar90_20,set_a_load_risk20,set_a_top10_share20,set_a_edge_gini20,set_a_max_vehicle_risk20,set_a_win_rate_10_40,set_a_average_risk_at_b,set_a_common_risk_aubrc,set_a_cvar90_aubrc,set_a_load_risk_aubrc,set_b_risk20,set_b_cvar90_20,set_b_load_risk20,set_b_top10_share20,set_b_edge_gini20,set_b_max_vehicle_risk20,set_b_win_rate_10_40,set_b_average_risk_at_b,set_b_common_risk_aubrc,set_b_cvar90_aubrc,set_b_load_risk_aubrc
GCN,0.2881,1.3739,0.2562,0.3495,0.2154,0.7846,0.10023857253855939,0.8416789131850788,0.9004317347185871,3.486998687055401,0.09092371183199574,1.7691101601499466,0.7657983768521035,0.762975237925741,1.13345587754856,0.1,3.6560102014012994,4.507325096706248,0.12144674995775873,2.3526203817748668,5.944889963383945,0.14258608640214981,2.9435800878728546,0.8485830095568028,0.8274439561681834,1.9330308996032948,0.14285714285714285,5.046319067778706,5.747440182279815,0.14828046985256274,2.827447796118162
GAT,0.2546,1.3744,0.2032,0.3059,0.1769,0.8231,0.09581107596106353,0.8401926485520127,0.8980495197911749,3.553382509171218,0.09132810321888384,1.8329705428610286,0.7719206077010371,0.7684956382424801,1.1364660002454539,0.04285714285714286,3.770936178948534,4.60527165899974,0.12447051110728986,2.392509854311735,6.062924756824627,0.14603912313995163,3.0822993895618063,0.8502547590628062,0.8288917539112021,1.8998166733038526,0.02857142857142857,5.4248880735075415,6.040178782671559,0.15605640308417423,2.9981017789440125
GraphSAGE,0.2960,1.2773,0.2992,0.3763,0.2808,0.7192,0.10388469493468136,0.8431308108011935,0.898447324746891,3.36282091886858,0.08585859438308173,1.736378210422965,0.7592819366246057,0.7579380976494897,1.1390125067957173,0.21428571428571427,3.596483009298728,4.45218326894575,0.11896810571954897,2.2927937654554653,5.156142212831034,0.12467906132155356,2.652922036545462,0.8223095187924494,0.8078733571294823,1.678963193456304,0.14285714285714285,4.948894057250943,5.657408536619782,0.14586323247361135,2.853880160340318
SGFormer-adapted,0.3217,1.2509,0.3717,0.3557,0.3692,0.6308,0.0975076765826641,0.8400139138321255,0.9033926296823412,3.5730985278708554,0.09047332851076217,1.7872164140872269,0.7721202516482116,0.768147802816683,1.1469848823491722,0.18571428571428572,3.6234546308786615,4.511834222760909,0.1196923074684912,2.279589903335128,5.018993386820187,0.11914166109135907,2.5480821542967758,0.8203309048873315,0.8066794109574902,1.7053580704696647,0.22857142857142856,4.917628133194377,5.568905122355689,0.14168013077053038,2.7851292049743317
Gradformer-adapted,0.2612,1.4125,0.2556,0.3242,0.2346,0.7654,0.09464440374439155,0.8428726206167477,0.906308776046569,4.0015519332096074,0.10560303674551304,2.008849706840011,0.794839436827901,0.7849935507978048,1.2403815273762215,0.18571428571428572,3.856602146418308,4.722248662106587,0.12781621279480468,2.4335776448629414,5.75541197991919,0.14106193313924792,2.9320345493584727,0.843043527077889,0.8224301036447447,1.7821318298441131,0.15714285714285714,5.133960202176605,5.882137993243675,0.1538100764222838,2.913149093335991
TEG-only,0.2878,1.6617,0.2993,0.3455,0.3000,0.7000,0.11027397324895888,0.8061480316350422,0.8941501195359436,3.5139017195650033,0.09061155766188222,1.7922072143494543,0.7663674292324234,0.7626675332295012,1.1194518434194471,0.05714285714285714,3.670404200014508,4.538018104774202,0.12330025189561,2.3380592031633034,5.7274661325078196,0.13775039069052247,2.9761473398098053,0.840612355483232,0.8198048928438381,1.8684168610726721,0.07142857142857142,4.947770195657323,5.649951214146919,0.1449074100623548,2.822765176024438
Stable-Tail w/o Tail Loss,0.2323,1.1871,0.1964,0.3319,0.1538,0.8462,0.09564915362414124,0.8548111747579773,0.9007360905023578,3.4987726713787053,0.08978569049074228,1.8000461026180887,0.7672768889150656,0.7635157781716995,1.0944216886119238,0.07142857142857142,3.6900735359498014,4.538871854162282,0.12277508045061927,2.35650435519318,5.6034331708739,0.13703188928739557,2.89348329042199,0.8379996680780353,0.820081683406098,1.7974060036509036,0.07142857142857142,4.978856183733089,5.640739067594817,0.14516424845556428,2.8498039280140097
Stable-Tail GNN,0.2896,1.2666,0.2904,0.3659,0.2462,0.7538,0.10228243608242277,0.8477440469009674,0.9008277886921462,3.2725572316303797,0.08140711339528363,1.656334213014636,0.7549475752504038,0.7537858590597001,1.0630845103678976,0.14285714285714285,3.5685852547333377,4.407364539601366,0.11709298823846304,2.295637675368641,5.115411262837607,0.12270242495673982,2.606862983424375,0.8212733591968858,0.8061133625520893,1.7296277743889839,0.15714285714285714,4.7900836552658514,5.551698337742293,0.1425981078975103,2.7744724661775395
