rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3475,8,8,7.209504127502441,0.8870720267295837,0.8895941376686096
2,3439,0,7,7.0167694091796875,0.8595384955406189,0.929498553276062
3,3335,7,7,7.004755973815918,0.8578222990036011,0.9973973631858826
4,3375,0,7,6.999961853027344,0.8571373820304871,0.9999855756759644
5,3367,0,7,6.999592304229736,0.8570846319198608,0.9997902512550354
6,3208,7,7,6.997010707855225,0.8567157983779907,0.9991114139556885
7,3721,8,8,6.966476917266846,0.8523538708686829,0.8382396697998047
8,3250,0,7,6.964082717895508,0.8520117998123169,0.9934746623039246
9,2795,0,7,6.8802385330200195,0.8400340676307678,0.9575538039207458
10,3410,7,7,6.8690056800842285,0.8384293913841248,0.9628490805625916
11,3448,7,7,6.8092041015625,0.8298863172531128,0.9173805713653564
12,4091,7,7,6.702875137329102,0.8146964311599731,0.9426393508911133
13,3100,0,7,6.689329147338867,0.8127613067626953,0.9386925101280212
14,3300,7,7,6.630436897277832,0.8043481111526489,0.9336467981338501
15,3086,7,7,6.267189025878906,0.7524555921554565,0.8075402975082397
16,4058,8,7,5.989077568054199,0.7127253413200378,0.7110304832458496
17,3136,6,7,5.987213134765625,0.7124590277671814,0.8176246881484985
18,3117,5,7,5.979648590087891,0.7113783955574036,0.661051332950592
19,3421,5,8,5.904660224914551,0.7006657719612122,0.5936271548271179
20,3901,7,7,5.876783847808838,0.696683406829834,0.7211462259292603
