risk_source,customer_set,beta,lambda_concentration,seed,common_global_risk,common_global_cvar90,common_max_vehicle_risk,common_max_vehicle_cvar90,common_vehicle_risk_gini,common_edge_burden_gini_used,common_top10_burden_share,common_max_edge_burden
A_GCN_seed0,A,0.0,0.0,0,7.13720918898623,0.1863884401265154,2.0334811143934313,0.3095878763305101,0.10827388002705596,0.8420770203615147,0.8784088853510879,0.8497501577930704
A_GCN_seed0,A,0.0,0.0,1,7.137209188986231,0.1863884401265154,2.0334811143934313,0.3095878763305101,0.10827388002705596,0.8420770203615151,0.8784088853510881,0.8497501577930704
A_GCN_seed0,A,0.0,0.0,2,8.83648777013067,0.30522414801746944,2.5909077653987485,0.4339526116418485,0.1916447544768558,0.849268838683997,0.8751957619120093,0.8497501577930704
A_GCN_seed0,A,0.0,0.0,3,6.670131931976947,0.18313369128943874,2.0805437896158963,0.3150857705734373,0.1898773321407885,0.8410167905798853,0.8734995320909449,0.8497501577930704
A_GCN_seed0,A,0.0,0.0,4,7.924019258123454,0.19841764026847944,3.057328046710605,0.5672764172526119,0.24534108029514945,0.8616187434723579,0.8928822385590962,1.6845056360248567
A_GCN_seed0,A,0.0,0.0,5,9.180870562216922,0.3074280402036809,2.0334811143934313,0.41850979198350086,0.06555734773852495,0.848503127540738,0.8683742803110893,0.8497501577930704
A_GCN_seed0,A,0.0,0.0,6,8.219127985273325,0.21855312061649157,2.056754136163555,0.3797267637563713,0.12556801961260766,0.8687935644436489,0.9020030108350661,1.6845056360248567
A_GCN_seed0,A,0.0,0.0,7,8.114584076151095,0.20892630168254672,2.4159583608797264,0.3100989629395949,0.18272122146823255,0.8471789960972063,0.8799149851724171,0.8497501577930704
A_GCN_seed0,A,0.0,0.0,8,7.982635535246252,0.273208748305199,2.630982811697667,0.4716093798180391,0.1718519348598646,0.8611399080026798,0.8905001524388388,1.6845056360248567
A_GCN_seed0,A,0.0,0.0,9,6.75545693790522,0.18600587307288263,2.056962842507706,0.3095878763305101,0.16156778570710184,0.8427555552275261,0.8760720396912355,0.8497501577930704
A_GCN_seed0,A,0.5,0.0,0,4.6036001782443545,0.13438817915582474,1.6609521818517028,0.2640961497196446,0.29200094465227067,0.8153540614069965,0.8288383782024727,0.8422528180124284
A_GCN_seed0,A,0.5,0.0,1,4.569958970957701,0.1381258565606353,1.8807780455675986,0.1878042261178846,0.28776787859027886,0.8093384882516053,0.8291101486044254,0.8422528180124284
A_GCN_seed0,A,0.5,0.0,2,4.603140217098863,0.1343881791558247,1.6730343935174854,0.2640961497196447,0.2954258467171047,0.8168934703629014,0.8289211985016349,0.8422528180124284
A_GCN_seed0,A,0.5,0.0,3,4.603821495883839,0.1343881791558247,1.6609521818517028,0.2640961497196447,0.29196767837213167,0.8161669267046248,0.8287985337920107,0.8422528180124284
A_GCN_seed0,A,0.5,0.0,4,4.569277692172727,0.13812585656063528,1.8807780455675986,0.1878042261178846,0.2877511447937229,0.8100815399294188,0.8292337688334213,0.8422528180124284
