model,avg_risk_at_b_ab_mean,common_aubrc_ab_mean,cvar90_aubrc_ab_mean,cvar95_aubrc_ab_mean,load_cvar90_aubrc_ab_mean,max_vehicle_cvar90_aubrc_ab_mean,rank_by_core_risk,method,alpha,rho,core_score
GraphSAGE-TEG-Gate,4.031324628683298,1.185319387202186,0.02887875076642661,0.05217270116278444,0.016837690055698455,0.05184598542640247,1.6666666666666667,,,,
Stable-Tail GNN,4.057116423260639,1.1891961468472116,0.028834105070021567,0.05246922491792055,0.01725052629530656,0.051798339422163595,2.3333333333333335,,,,
Stable-Tail-Gate,4.133504925947666,1.2106034935033665,0.029766080644670012,0.05404246398689812,0.017415144449371533,0.053428909194627866,5.666666666666667,,,,
GraphSAGE,4.1457892741164715,1.2169691264245501,0.02981150493828523,0.05446132093298737,0.017904603277923273,0.0530276888662585,7.0,,,,
TEG-only,4.192704571695483,1.23539412253895,0.030289512673607723,0.05523183418731539,0.018160634199960134,0.05461997721369127,9.0,,,,
Stable-Tail w/o Tail Loss,4.199642031118803,1.234990081986476,0.03040550834309831,0.05584903989505638,0.018335029498834234,0.054206132749059485,10.0,,,,
GCN,4.217385646397487,1.2433492008264029,0.030773164362690196,0.05644538343458623,0.018008176372372946,0.055297536914501316,11.0,,,,
Stable-Tail-MatrixEns-r010,4.005969526444026,1.171320239960568,0.028454675066541153,0.05132307577319273,0.016649487520189278,0.05060847436884623,,risk_matrix_ensemble,0.1,0.1,1.75
Stable-Tail-NodeCalib-a030,4.016903356163095,1.1730207289275911,0.028412824535155194,0.05154156150098485,0.01681728150082327,0.05080424038921897,,node_calibration,0.3,0.2,2.75
Stable-Tail-TailOnly-a020,4.020861424026589,1.176597787679277,0.028355415460128694,0.051775065957548314,0.01695794406521681,0.05120611755012356,,tail_only_correction,0.2,0.2,3.5
Stable-Tail-NodeCalib-a010,4.014759360108673,1.1725373607019136,0.028526522746541168,0.051836077513913795,0.01706549881513242,0.05063815573582536,,node_calibration,0.1,0.2,5.0
Stable-Tail-MatrixEns-r040,4.031400679302759,1.1771692966026635,0.028479376903338398,0.05159518709477019,0.016887089217395453,0.05074693964805868,,risk_matrix_ensemble,0.1,0.4,6.25
Stable-Tail-EdgeTail-a020,4.030498592634965,1.1770944992168308,0.02834093329213882,0.05208053877969454,0.01707721783110801,0.05142762518341547,,edge_tail_correction,0.2,0.2,6.75
Stable-Tail-MatrixEns-r020,4.0238393162882815,1.1768281580689182,0.02864669106349462,0.05188619753854676,0.016955851649114773,0.05130086701134813,,risk_matrix_ensemble,0.1,0.2,8.25
Stable-Tail-TailOnly-a005,4.038945281308566,1.179915171975364,0.028523621199052298,0.05185980230909108,0.017196144210941466,0.05035934697033004,,tail_only_correction,0.05,0.2,9.75
Stable-Tail-EdgeTail-a010,4.035509501255325,1.1817537012627222,0.028504302921594248,0.051814586676239116,0.016946577284579704,0.05038811514364063,,edge_tail_correction,0.1,0.2,10.0
Stable-Tail-TailOnly-a030,4.030656289572285,1.1795088118166728,0.028552892759165026,0.05221905184429733,0.01729080308668311,0.05097739802868191,,tail_only_correction,0.3,0.2,10.5
Stable-Tail-EdgeTail-a030,4.04260316637704,1.1805368025259086,0.028472456559488168,0.0519232172030273,0.017058353756866554,0.05159520837354213,,edge_tail_correction,0.3,0.2,10.75
Stable-Tail-MatrixEns-r005,4.040374699464959,1.1802893594423265,0.028706734020987966,0.05181911385842293,0.016986034959825026,0.05111677443808384,,risk_matrix_ensemble,0.1,0.05,12.0
Stable-Tail-NodeCalib-a005,4.031242671572421,1.1806535305308352,0.028646611120458118,0.0520688271798794,0.01705143172371655,0.05109281031546607,,node_calibration,0.05,0.2,12.0
Stable-Tail-NodeCalib-a020,4.033292056911934,1.1786316491475364,0.028667968588400844,0.052187630546980536,0.016783302609039274,0.051192401667984645,,node_calibration,0.2,0.2,12.5
Stable-Tail-EdgeTail-a005,4.032696421982705,1.1806121907113205,0.028631772725136735,0.0522410115000376,0.016832413155892244,0.05057828732277944,,edge_tail_correction,0.05,0.2,13.0
Stable-Tail-MatrixEns-r030,4.041571511070737,1.1813825808151934,0.02865132563735823,0.0519299855661342,0.016890598832794083,0.0512133973207761,,risk_matrix_ensemble,0.1,0.3,14.0
Stable-Tail-TailOnly-a010,4.04444173906486,1.1819065594923988,0.028621279862023404,0.052009355891594417,0.016931010158839556,0.050564547743424976,,tail_only_correction,0.1,0.2,14.25
