method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,total_risk_wilcoxon_p,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,max_risk_wilcoxon_p,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar80_wilcoxon_p,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,cvar90_wilcoxon_p,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,re_wilcoxon_p,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,gini_wilcoxon_p,path_overlap_with_cvar,selected_path_changed_rate,risk_source
CVaR-risk,150,9.973333333333333,2.618844118884448,0.004913300388100594,0.011546136000657996,0.021320520465572677,0.08582904696231361,0.013450456062758652,0.044991505836878484,0.019500077159868342,0.08370495422340571,0.002847980975665448,0.011472762101487524,0.19555697258297333,0.136770623182082,0.40114916911395515,0.14735492964332605,0.04519204901334964,0.09644715842982733,0.10637857512856143,0.11236988962940431,0.539888897084341,0.42409681112998476,0.5971780499190023,0.43012250090046916,0.3056959698771508,0.04519204901334964,0.8521666836747537,0.539888897084341,0.7147440619462315,2.301384198721804e-20,0.21997032054467128,0.021320520465572677,0.9030754675736083,0.5883942834163246,0.8633801867173968,2.794925243656376e-20,0.12485601735473352,0.013450456062758652,0.8922722640957201,0.5773731802226517,0.8053973027514933,8.981357724063318e-21,0.19205873186389605,0.019500077159868342,0.8984681562169967,0.5971780499190023,0.8832519586523995,4.1987984906568744e-21,0.03284503254447963,0.002847980975665448,0.9132903591213702,0.6647536065900898,0.9671900568825779,1.6193355229250216e-20,0.6140636798994318,0.40114916911395515,0.34673034369985856,0.21673721392246298,0.3389097131511537,3.4329958846846417e-16,1.0,0.0,Stable-Tail-TailOnlyRaw-a030_seed0
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.035269369716824865,0.04812739802965783,0.21997032054467128,0.26998683745564234,0.12485601735473352,0.1789729579974738,0.19205873186389605,0.2530641418209744,0.03284503254447963,0.047887455223836986,0.4812351622989895,0.2870749516364415,0.6140636798994318,0.23645404473134485,0.3056959698771508,0.39274508235488537,0.0,0.0,0.0,0.0,0.0,0.0,0.3056959698771508,0.3056959698771508,0.0,0.0,0.0,1.0,0.21997032054467128,0.21997032054467128,0.0,0.0,0.0,1.0,0.12485601735473352,0.12485601735473352,0.0,0.0,0.0,1.0,0.19205873186389605,0.19205873186389605,0.0,0.0,0.0,1.0,0.03284503254447963,0.03284503254447963,0.0,0.0,0.0,1.0,0.6140636798994318,0.6140636798994318,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,Stable-Tail-TailOnlyRaw-a030_seed0
CVaR-risk,150,9.886666666666667,2.6203556976301727,0.005871498682140236,0.013474756066411934,0.024429510387902458,0.09578076597411647,0.015228402128042134,0.050104489016341645,0.022700990749936967,0.09435518153422318,0.0032010364947013398,0.013444409699031906,0.1914419440391524,0.1399033497208966,0.3795150845345462,0.13749463281656857,0.053207888601418375,0.10533852807242959,0.09617660117658873,0.10996789778028708,0.5395402672667313,0.4367439659976795,0.5913535891353296,0.44472429332496927,0.39571942216779765,0.053207888601418375,0.8655413769917968,0.5395402672667313,0.7624104130663191,2.204272029501144e-19,0.28066769073174025,0.024429510387902458,0.9129593066978097,0.5917000236144315,0.8796369372687626,1.2776015925930462e-19,0.15805576874000124,0.015228402128042134,0.9036517157814327,0.577923764345387,0.810683004515508,1.2783902941957056e-19,0.24191487496537675,0.022700990749936967,0.9061612447184484,0.5913535891353296,0.8967524947683292,4.094700747503043e-20,0.04176003742757908,0.0032010364947013398,0.9233468959127258,0.6543783764962176,0.9607900527590294,4.096357955947718e-20,0.6100103904215995,0.3795150845345462,0.37785472101118167,0.25794645171873287,0.35051067975571876,8.986791513771341e-17,1.0,0.0,Stable-Tail-TailOnlyRaw-a030_seed1
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.04479240698362937,0.0520588614378383,0.28066769073174025,0.29599169050245205,0.15805576874000124,0.19480871834589586,0.24191487496537675,0.2704113988402232,0.04176003742757908,0.05185926787554451,0.4877328003399459,0.29902610391182155,0.6100103904215995,0.24021375800503011,0.39571942216779765,0.4420103786020219,0.0,0.0,0.0,0.0,0.0,0.0,0.39571942216779765,0.39571942216779765,0.0,0.0,0.0,1.0,0.28066769073174025,0.28066769073174025,0.0,0.0,0.0,1.0,0.15805576874000124,0.15805576874000124,0.0,0.0,0.0,1.0,0.24191487496537675,0.24191487496537675,0.0,0.0,0.0,1.0,0.04176003742757908,0.04176003742757908,0.0,0.0,0.0,1.0,0.6100103904215995,0.6100103904215995,0.0,0.0,0.0,1.0,0.25333333333333335,0.7466666666666666,Stable-Tail-TailOnlyRaw-a030_seed1
CVaR-risk,150,9.866666666666667,2.6027003701928964,0.005553356300460157,0.012806424012280548,0.02373960683355108,0.0979357670515775,0.01446162078439051,0.049307009099729626,0.02206392843457353,0.09594627922732886,0.003041676476074019,0.012801217895899135,0.18792504069509916,0.14458479024409776,0.3625568255906551,0.14315179792856253,0.050627697889530435,0.10465449154757492,0.09440608465607236,0.11233769183019805,0.5526114968949031,0.4126820622296344,0.6013486670414204,0.436315303698857,0.3622880202465603,0.050627697889530435,0.8602556665938463,0.5526114968949031,0.7582792591319854,1.0034917279751604e-19,0.27253433753736317,0.02373960683355108,0.912893153028068,0.6014505598248382,0.9277394481200203,1.2779655511299613e-19,0.1451665642640243,0.01446162078439051,0.9003791206424879,0.5870984561354068,0.8672331868242679,1.2783902941957056e-19,0.23511300349608064,0.02206392843457353,0.9061560691778262,0.6013486670414204,0.8959005757434803,8.746847984597943e-20,0.038213764544507534,0.003041676476074019,0.9204036421627138,0.6637219160069916,0.9602929372634353,1.8686821759772635e-19,0.6116963120957901,0.3625568255906551,0.4072927718840213,0.2886852393137666,0.40936815003893884,3.2995389481121955e-17,1.0,0.0,Stable-Tail-TailOnlyRaw-a030_seed2
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.04107845451656463,0.05016602921391179,0.27253433753736317,0.31772755808830555,0.1451665642640243,0.19006172792372114,0.23511300349608064,0.2859791506962166,0.038213764544507534,0.049981916642688785,0.490159587687468,0.2936355206689669,0.6116963120957901,0.23939616245112524,0.3622880202465603,0.42151095523053844,0.0,0.0,0.0,0.0,0.0,0.0,0.3622880202465603,0.3622880202465603,0.0,0.0,0.0,1.0,0.27253433753736317,0.27253433753736317,0.0,0.0,0.0,1.0,0.1451665642640243,0.1451665642640243,0.0,0.0,0.0,1.0,0.23511300349608064,0.23511300349608064,0.0,0.0,0.0,1.0,0.038213764544507534,0.038213764544507534,0.0,0.0,0.0,1.0,0.6116963120957901,0.6116963120957901,0.0,0.0,0.0,1.0,0.26666666666666666,0.7333333333333334,Stable-Tail-TailOnlyRaw-a030_seed2
CVaR-risk,150,10.006666666666666,2.5945132262973276,0.004301838458069335,0.010477573244430369,0.01732862201674531,0.07588559111953938,0.011413370510433903,0.04244803096380365,0.016097177743083904,0.07524929620592297,0.0022787143014457636,0.010479354445287397,0.19137599886551307,0.1343728992288844,0.3869305400831054,0.14555684584830575,0.039517661626218725,0.08544659774135387,0.11242908017906539,0.12958925489352377,0.5477490548448511,0.43589304460253514,0.6143530578024148,0.42208427197352705,0.3088402915383873,0.039517661626218725,0.8720449931249372,0.5477490548448511,0.7964911470210532,4.4110387044827494e-20,0.21915747235063462,0.01732862201674531,0.9209307269708704,0.6026773038545753,0.9159033198846691,5.970131336968854e-20,0.12670847343888855,0.011413370510433903,0.9099241731702459,0.589773990493292,0.8171690529484088,3.859608705644389e-20,0.19205678381155142,0.016097177743083904,0.9161853206924736,0.6143530578024148,0.9135678827339428,4.199138632978078e-21,0.03293925067305037,0.0022787143014457636,0.9308207000519007,0.6727152046413912,0.9752801051775888,1.1063430998601944e-20,0.6142386128298056,0.3869305400831054,0.37006477287241646,0.26515265210834127,0.3528968459839947,8.158240033249455e-17,1.0,0.0,Stable-Tail-TailOnlyRaw-a030_seed3
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.0352681042856806,0.04695055559253953,0.21915747235063462,0.26641579288821643,0.12670847343888855,0.18035598332686725,0.19205678381155142,0.24996789652179807,0.03293925067305037,0.046771575639147196,0.4863060957345053,0.29550011852694696,0.6142386128298056,0.23458448056479897,0.3088402915383873,0.39438797377311535,0.0,0.0,0.0,0.0,0.0,0.0,0.3088402915383873,0.3088402915383873,0.0,0.0,0.0,1.0,0.21915747235063462,0.21915747235063462,0.0,0.0,0.0,1.0,0.12670847343888855,0.12670847343888855,0.0,0.0,0.0,1.0,0.19205678381155142,0.19205678381155142,0.0,0.0,0.0,1.0,0.03293925067305037,0.03293925067305037,0.0,0.0,0.0,1.0,0.6142386128298056,0.6142386128298056,0.0,0.0,0.0,1.0,0.21333333333333335,0.7866666666666666,Stable-Tail-TailOnlyRaw-a030_seed3
CVaR-risk,150,9.893333333333333,2.5910187332519694,0.005143230995968213,0.012769687038973505,0.019855315654228132,0.08362964365103676,0.013528345474145477,0.05003150183784669,0.018584442225077914,0.08259280765036195,0.002792486027391903,0.012762176749558353,0.18733908022918108,0.13347751115137618,0.3652649449462288,0.14299818689259663,0.04693719868433289,0.10095666627158294,0.09737674362673102,0.10933780630668473,0.535614206755165,0.42684431826765173,0.5939966721057994,0.4375355620787664,0.3365991362759208,0.04693719868433289,0.8605546074642404,0.535614206755165,0.7623098994648728,9.552498148638765e-20,0.2507740275375545,0.019855315654228132,0.9208238753824874,0.5884854121203491,0.9154231277956646,5.9805258011235e-20,0.1364235598456839,0.013528345474145477,0.9008357098264482,0.5709574631257025,0.8470361450944891,2.802837240474118e-20,0.21444319122315694,0.018584442225077914,0.913336291443958,0.5939966721057994,0.8917277193401854,8.981357724063318e-21,0.03601499791914671,0.002792486027391903,0.9224632461569631,0.6621927921790536,0.958146845049405,1.3128050198846233e-20,0.6021679368928113,0.3652649449462288,0.39341681519711824,0.2669861318065969,0.3698381212484652,3.1460298851255356e-17,1.0,0.0,Stable-Tail-TailOnlyRaw-a030_seed4
Hop-shortest,150,9.093333333333334,2.5733446928612973,0.03865949185534877,0.0502710634329062,0.2507740275375545,0.30351276132351857,0.1364235598456839,0.19269674108423288,0.21444319122315694,0.2713364691507068,0.03601499791914671,0.05011475903936108,0.4836453908358703,0.2921316243052829,0.6021679368928113,0.24592938608920334,0.3365991362759208,0.40841992593650217,0.0,0.0,0.0,0.0,0.0,0.0,0.3365991362759208,0.3365991362759208,0.0,0.0,0.0,1.0,0.2507740275375545,0.2507740275375545,0.0,0.0,0.0,1.0,0.1364235598456839,0.1364235598456839,0.0,0.0,0.0,1.0,0.21444319122315694,0.21444319122315694,0.0,0.0,0.0,1.0,0.03601499791914671,0.03601499791914671,0.0,0.0,0.0,1.0,0.6021679368928113,0.6021679368928113,0.0,0.0,0.0,1.0,0.22666666666666666,0.7733333333333333,Stable-Tail-TailOnlyRaw-a030_seed4
