method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction
CVaR+Concentration,30,8.966666666666667,2.5526636977915813,0.0005920607483748234,0.0032428502729828085,0.006512668232123057,0.0356713530028109,0.0005920607483748234,0.0032428502729828085,0.0005920607483748234,0.0032428502729828085,0.0005298736444566971,0.0029022374769640527,0.03333333333299212,0.1825741858331865,0.030303030303030307,0.16597653257732312,0.006512668232123057,0.0356713530028109,0.05314814814814074,0.10182317378823584,0.5535309921906442,0.49741587753452243,0.5646958900244162,0.5023670014298359,0.22333688388268153,0.006512668232123057,0.9708392625531795,0.5535309921906442,0.9999999999949731,0.18853833625713984,0.006512668232123057,0.9654570610816987,0.544988123677779,0.9999999999949234,0.07633102212457252,0.0005920607483748234,0.9922435107917089,0.5642783622042038,0.9999999999469631,0.14895466296979182,0.0005920607483748234,0.9960252284986143,0.5646958900244162,0.9999999999469631,0.026202986101418038,0.0005298736444566971,0.979778119814833,0.5550148583154385,0.9999999999414186,0.4792967580693695,0.030303030303030307,0.9367760582691418,0.5297651217885953,0.9999999999986345
CVaR-risk,30,8.966666666666667,2.5526636977915813,0.0005920607483748234,0.0032428502729828085,0.006512668232123057,0.0356713530028109,0.0005920607483748234,0.0032428502729828085,0.0005920607483748234,0.0032428502729828085,0.0005298736444566971,0.0029022374769640527,0.03333333333299212,0.1825741858331865,0.030303030303030307,0.16597653257732312,0.006512668232123057,0.0356713530028109,0.05314814814814074,0.10182317378823584,0.5535309921906442,0.49741587753452243,0.5646958900244162,0.5023670014298359,0.22333688388268153,0.006512668232123057,0.9708392625531795,0.5535309921906442,0.9999999999949731,0.18853833625713984,0.006512668232123057,0.9654570610816987,0.544988123677779,0.9999999999949234,0.07633102212457252,0.0005920607483748234,0.9922435107917089,0.5642783622042038,0.9999999999469631,0.14895466296979182,0.0005920607483748234,0.9960252284986143,0.5646958900244162,0.9999999999469631,0.026202986101418038,0.0005298736444566971,0.979778119814833,0.5550148583154385,0.9999999999414186,0.4792967580693695,0.030303030303030307,0.9367760582691418,0.5297651217885953,0.9999999999986345
Hop-shortest,30,8.566666666666666,2.5553639774934735,0.028093629718115194,0.031251738700672924,0.18853833625713984,0.18596217689311142,0.07633102212457252,0.13186864682663685,0.14895466296979182,0.1806893377400247,0.026202986101418038,0.029392140408885083,0.4888832365267425,0.4643878966717162,0.4792967580693695,0.42893095169788625,0.22333688388268153,0.22849766020251677,0.0,0.0,0.0,0.0,0.0,0.0,0.22333688388268153,0.22333688388268153,0.0,0.0,0.0,0.18853833625713984,0.18853833625713984,0.0,0.0,0.0,0.07633102212457252,0.07633102212457252,0.0,0.0,0.0,0.14895466296979182,0.14895466296979182,0.0,0.0,0.0,0.026202986101418038,0.026202986101418038,0.0,0.0,0.0,0.4792967580693695,0.4792967580693695,0.0,0.0,0.0
Mean-risk-floor,30,9.0,2.58643677139299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056481481481473736,0.10499718221605013,0.5666666666649848,0.504006932992235,0.5666666666595978,0.5040069329874436,0.22333688388268153,0.0,0.9999999999955225,0.5666666666649848,0.9999999999953886,0.18853833625713984,0.0,0.999999999994696,0.5666666666647753,0.9999999999953267,0.07633102212457252,0.0,0.9999999999868991,0.5666666666540792,0.9999999999525988,0.14895466296979182,0.0,0.9999999999932865,0.5666666666595978,0.9999999999583618,0.026202986101418038,0.0,0.9999999999618364,0.5666666666507321,0.9999999999477569,0.4792967580693695,0.0,0.9999999999979137,0.566666666665993,0.9999999999986787
Mean-risk-raw,30,9.166666666666666,2.600839828996002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07730399230398168,0.10554823125935281,0.5666666666649848,0.504006932992235,0.5666666666595978,0.5040069329874436,0.22333688388268153,0.0,0.9999999999955225,0.5666666666649848,0.9999999999953886,0.18853833625713984,0.0,0.999999999994696,0.5666666666647753,0.9999999999953267,0.07633102212457252,0.0,0.9999999999868991,0.5666666666540792,0.9999999999525988,0.14895466296979182,0.0,0.9999999999932865,0.5666666666595978,0.9999999999583618,0.026202986101418038,0.0,0.9999999999618364,0.5666666666507321,0.9999999999477569,0.4792967580693695,0.0,0.9999999999979137,0.566666666665993,0.9999999999986787
