label,seed,risk_source,risk_dir,method,alpha,rho,tail_quantile,tail_sharpness,hard_tail,p_high_mode,p_high_gate_threshold,year,clip
Stable-Tail-EdgeTailRaw-a010,8,Stable-Tail-EdgeTailRaw-a010_seed8,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a010_splitB_seed8_floor_0p01,edge_tail_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a010,9,Stable-Tail-EdgeTailRaw-a010_seed9,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a010_splitB_seed9_floor_0p01,edge_tail_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a020,0,Stable-Tail-EdgeTailRaw-a020_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a020_splitB_seed0_floor_0p01,edge_tail_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a020,1,Stable-Tail-EdgeTailRaw-a020_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a020_splitB_seed1_floor_0p01,edge_tail_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a020,2,Stable-Tail-EdgeTailRaw-a020_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a020_splitB_seed2_floor_0p01,edge_tail_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a020,3,Stable-Tail-EdgeTailRaw-a020_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a020_splitB_seed3_floor_0p01,edge_tail_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a020,4,Stable-Tail-EdgeTailRaw-a020_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a020_splitB_seed4_floor_0p01,edge_tail_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a020,5,Stable-Tail-EdgeTailRaw-a020_seed5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a020_splitB_seed5_floor_0p01,edge_tail_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a020,6,Stable-Tail-EdgeTailRaw-a020_seed6,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a020_splitB_seed6_floor_0p01,edge_tail_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a020,7,Stable-Tail-EdgeTailRaw-a020_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a020_splitB_seed7_floor_0p01,edge_tail_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a020,8,Stable-Tail-EdgeTailRaw-a020_seed8,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a020_splitB_seed8_floor_0p01,edge_tail_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a020,9,Stable-Tail-EdgeTailRaw-a020_seed9,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a020_splitB_seed9_floor_0p01,edge_tail_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a030,0,Stable-Tail-EdgeTailRaw-a030_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a030_splitB_seed0_floor_0p01,edge_tail_correction,0.3,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a030,1,Stable-Tail-EdgeTailRaw-a030_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a030_splitB_seed1_floor_0p01,edge_tail_correction,0.3,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a030,2,Stable-Tail-EdgeTailRaw-a030_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a030_splitB_seed2_floor_0p01,edge_tail_correction,0.3,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a030,3,Stable-Tail-EdgeTailRaw-a030_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a030_splitB_seed3_floor_0p01,edge_tail_correction,0.3,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a030,4,Stable-Tail-EdgeTailRaw-a030_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a030_splitB_seed4_floor_0p01,edge_tail_correction,0.3,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a030,5,Stable-Tail-EdgeTailRaw-a030_seed5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a030_splitB_seed5_floor_0p01,edge_tail_correction,0.3,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a030,6,Stable-Tail-EdgeTailRaw-a030_seed6,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a030_splitB_seed6_floor_0p01,edge_tail_correction,0.3,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a030,7,Stable-Tail-EdgeTailRaw-a030_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a030_splitB_seed7_floor_0p01,edge_tail_correction,0.3,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a030,8,Stable-Tail-EdgeTailRaw-a030_seed8,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a030_splitB_seed8_floor_0p01,edge_tail_correction,0.3,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-EdgeTailRaw-a030,9,Stable-Tail-EdgeTailRaw-a030_seed9,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_edge_tail_raw_a030_splitB_seed9_floor_0p01,edge_tail_correction,0.3,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a005,0,Stable-Tail-TailOnlyRaw-a005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a005_splitB_seed0_floor_0p01,tail_only_correction,0.05,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a005,1,Stable-Tail-TailOnlyRaw-a005_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a005_splitB_seed1_floor_0p01,tail_only_correction,0.05,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a005,2,Stable-Tail-TailOnlyRaw-a005_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a005_splitB_seed2_floor_0p01,tail_only_correction,0.05,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a005,3,Stable-Tail-TailOnlyRaw-a005_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a005_splitB_seed3_floor_0p01,tail_only_correction,0.05,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a005,4,Stable-Tail-TailOnlyRaw-a005_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a005_splitB_seed4_floor_0p01,tail_only_correction,0.05,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a005,5,Stable-Tail-TailOnlyRaw-a005_seed5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a005_splitB_seed5_floor_0p01,tail_only_correction,0.05,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a005,6,Stable-Tail-TailOnlyRaw-a005_seed6,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a005_splitB_seed6_floor_0p01,tail_only_correction,0.05,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a005,7,Stable-Tail-TailOnlyRaw-a005_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a005_splitB_seed7_floor_0p01,tail_only_correction,0.05,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a005,8,Stable-Tail-TailOnlyRaw-a005_seed8,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a005_splitB_seed8_floor_0p01,tail_only_correction,0.05,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a005,9,Stable-Tail-TailOnlyRaw-a005_seed9,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a005_splitB_seed9_floor_0p01,tail_only_correction,0.05,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a010,0,Stable-Tail-TailOnlyRaw-a010_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a010_splitB_seed0_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a010,1,Stable-Tail-TailOnlyRaw-a010_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a010_splitB_seed1_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a010,2,Stable-Tail-TailOnlyRaw-a010_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a010_splitB_seed2_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a010,3,Stable-Tail-TailOnlyRaw-a010_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a010_splitB_seed3_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a010,4,Stable-Tail-TailOnlyRaw-a010_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a010_splitB_seed4_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a010,5,Stable-Tail-TailOnlyRaw-a010_seed5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a010_splitB_seed5_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a010,6,Stable-Tail-TailOnlyRaw-a010_seed6,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a010_splitB_seed6_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a010,7,Stable-Tail-TailOnlyRaw-a010_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a010_splitB_seed7_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a010,8,Stable-Tail-TailOnlyRaw-a010_seed8,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a010_splitB_seed8_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a010,9,Stable-Tail-TailOnlyRaw-a010_seed9,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a010_splitB_seed9_floor_0p01,tail_only_correction,0.1,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a020,0,Stable-Tail-TailOnlyRaw-a020_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a020_splitB_seed0_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
Stable-Tail-TailOnlyRaw-a020,1,Stable-Tail-TailOnlyRaw-a020_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_raw_a020_splitB_seed1_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,raw,0.5,data_2021,True
